PSI 3hr,Datetime stamp
38, 8am 05 Feb 2014
36, 9am 05 Feb 2014
34, 10am 05 Feb 2014
32, 11am 05 Feb 2014
32, 12pm 05 Feb 2014
32, 1pm 05 Feb 2014
32, 2pm 05 Feb 2014
33, 3pm 05 Feb 2014
32, 4pm 05 Feb 2014
32, 5pm 05 Feb 2014
32, 7pm 05 Feb 2014
31, 8pm 05 Feb 2014
30, 9pm 05 Feb 2014
29, 10pm 05 Feb 2014
27, 11pm 05 Feb 2014
20, 4am 06 Feb 2014
19, 6am 06 Feb 2014
21, 7am 06 Feb 2014
22, 8am 06 Feb 2014
23, 9am 06 Feb 2014
23, 10am 06 Feb 2014
24, 11am 06 Feb 2014
26, 12pm 06 Feb 2014
27, 1pm 06 Feb 2014
26, 2pm 06 Feb 2014
26, 3pm 06 Feb 2014
28, 4pm 06 Feb 2014
31, 5pm 06 Feb 2014
34, 6pm 06 Feb 2014
33, 7pm 06 Feb 2014
31, 8pm 06 Feb 2014
27, 9pm 06 Feb 2014
23, 10pm 06 Feb 2014
22, 11pm 06 Feb 2014
18, 6am 07 Feb 2014
19, 7am 07 Feb 2014
19, 7am 07 Feb 2014
20, 9am 07 Feb 2014
26, 11am 07 Feb 2014
31, 1pm 07 Feb 2014
30, 2pm 07 Feb 2014
31, 3pm 07 Feb 2014
34, 4pm 07 Feb 2014
37, 5pm 07 Feb 2014
34, 6pm 07 Feb 2014
31, 8pm 07 Feb 2014
30, 9pm 07 Feb 2014
28, 10pm 07 Feb 2014
27, 11pm 07 Feb 2014
36, 6am 08 Feb 2014
34, 7am 08 Feb 2014
35, 8am 08 Feb 2014
41, 10am 08 Feb 2014
38, 12pm 08 Feb 2014
38, 1pm 08 Feb 2014
40, 2pm 08 Feb 2014
43, 3pm 08 Feb 2014
49, 4pm 08 Feb 2014
54, 6pm 08 Feb 2014
52, 7pm 08 Feb 2014
49, 8pm 08 Feb 2014
40, 10pm 08 Feb 2014
34, 11pm 08 Feb 2014
23, 6am 09 Feb 2014
22, 7am 09 Feb 2014
23, 8am 09 Feb 2014
24, 9am 09 Feb 2014
27, 11am 09 Feb 2014
28, 1pm 09 Feb 2014
32, 2pm 09 Feb 2014
34, 3pm 09 Feb 2014
35, 4pm 09 Feb 2014
33, 5pm 09 Feb 2014
32, 6pm 09 Feb 2014
33, 7pm 09 Feb 2014
39, 8pm 09 Feb 2014
44, 9pm 09 Feb 2014
44, 10pm 09 Feb 2014
43, 11pm 09 Feb 2014
25, 6am 10 Feb 2014
25, 8am 10 Feb 2014
26, 10am 10 Feb 2014
28, 12pm 10 Feb 2014
29, 1pm 10 Feb 2014
30, 2pm 10 Feb 2014
31, 3pm 10 Feb 2014
32, 4pm 10 Feb 2014
32, 5pm 10 Feb 2014
32, 6pm 10 Feb 2014
38, 7pm 10 Feb 2014
47, 8pm 10 Feb 2014
47, 9pm 10 Feb 2014
30, 11pm 10 Feb 2014
20, 7am 11 Feb 2014
22, 9am 11 Feb 2014
24, 10am 11 Feb 2014
28, 11am 11 Feb 2014
32, 1pm 11 Feb 2014
31, 3pm 11 Feb 2014
34, 4pm 11 Feb 2014
40, 5pm 11 Feb 2014
43, 6pm 11 Feb 2014
44, 7pm 11 Feb 2014
41, 8pm 11 Feb 2014
38, 9pm 11 Feb 2014
34, 10pm 11 Feb 2014
31, 11pm 11 Feb 2014
20, 6am 12 Feb 2014
19, 7am 12 Feb 2014
20, 8am 12 Feb 2014
23, 9am 12 Feb 2014
24, 10am 12 Feb 2014
27, 11am 12 Feb 2014
28, 12pm 12 Feb 2014
30, 1pm 12 Feb 2014
30, 2pm 12 Feb 2014
31, 3pm 12 Feb 2014
33, 4pm 12 Feb 2014
36, 5pm 12 Feb 2014
38, 6pm 12 Feb 2014
41, 7pm 12 Feb 2014
41, 8pm 12 Feb 2014
40, 9pm 12 Feb 2014
39, 10pm 12 Feb 2014
38, 11pm 12 Feb 2014
35, 12am 13 Feb 2014
29, 6am 13 Feb 2014
26, 7am 13 Feb 2014
27, 8am 13 Feb 2014
29, 9am 13 Feb 2014
32, 10am 13 Feb 2014
37, 12pm 13 Feb 2014
36, 1pm 13 Feb 2014
34, 2pm 13 Feb 2014
36, 4pm 13 Feb 2014
38, 5pm 13 Feb 2014
40, 6pm 13 Feb 2014
38, 8pm 13 Feb 2014
35, 9pm 13 Feb 2014
33, 10pm 13 Feb 2014
32, 11pm 13 Feb 2014
26, 7am 14 Feb 2014
28, 8am 14 Feb 2014
31, 9am 14 Feb 2014
33, 10am 14 Feb 2014
35, 11am 14 Feb 2014
36, 12pm 14 Feb 2014
37, 1pm 14 Feb 2014
37, 1pm 14 Feb 2014
33, 3pm 14 Feb 2014
33, 4pm 14 Feb 2014
35, 5pm 14 Feb 2014
35, 6pm 14 Feb 2014
31, 7pm 14 Feb 2014
27, 9pm 14 Feb 2014
30, 10pm 14 Feb 2014
32, 11pm 14 Feb 2014
32, 5am 15 Feb 2014
31, 7am 15 Feb 2014
32, 8am 15 Feb 2014
34, 9am 15 Feb 2014
35, 11am 15 Feb 2014
34, 12pm 15 Feb 2014
34, 1pm 15 Feb 2014
33, 2pm 15 Feb 2014
35, 3pm 15 Feb 2014
37, 4pm 15 Feb 2014
37, 5pm 15 Feb 2014
37, 6pm 15 Feb 2014
43, 8pm 15 Feb 2014
43, 9pm 15 Feb 2014
42, 10pm 15 Feb 2014
42, 10pm 15 Feb 2014
41, 11pm 15 Feb 2014
32, 7am 16 Feb 2014
33, 8am 16 Feb 2014
32, 9am 16 Feb 2014
32, 10am 16 Feb 2014
31, 11am 16 Feb 2014
30, 1pm 16 Feb 2014
30, 1pm 16 Feb 2014
29, 2pm 16 Feb 2014
30, 4pm 16 Feb 2014
31, 5pm 16 Feb 2014
32, 6pm 16 Feb 2014
31, 7pm 16 Feb 2014
28, 8pm 16 Feb 2014
28, 10pm 16 Feb 2014
32, 11pm 16 Feb 2014
34, 6am 17 Feb 2014
34, 7am 17 Feb 2014
37, 9am 17 Feb 2014
38, 10am 17 Feb 2014
38, 11am 17 Feb 2014
35, 1pm 17 Feb 2014
33, 2pm 17 Feb 2014
33, 3pm 17 Feb 2014
33, 4pm 17 Feb 2014
34, 5pm 17 Feb 2014
34, 6pm 17 Feb 2014
34, 7pm 17 Feb 2014
34, 9pm 17 Feb 2014
35, 10pm 17 Feb 2014
35, 10pm 17 Feb 2014
36, 11pm 17 Feb 2014
34, 7am 18 Feb 2014
36, 8am 18 Feb 2014
37, 9am 18 Feb 2014
34, 11am 18 Feb 2014
34, 1pm 18 Feb 2014
31, 2pm 18 Feb 2014
32, 3pm 18 Feb 2014
33, 5pm 18 Feb 2014
32, 6pm 18 Feb 2014
33, 7pm 18 Feb 2014
33, 8pm 18 Feb 2014
33, 9pm 18 Feb 2014
31, 11pm 18 Feb 2014
37, 6am 19 Feb 2014
39, 7am 19 Feb 2014
40, 8am 19 Feb 2014
39, 9am 19 Feb 2014
33, 11am 19 Feb 2014
32, 12pm 19 Feb 2014
32, 1pm 19 Feb 2014
31, 3pm 19 Feb 2014
29, 4pm 19 Feb 2014
29, 4pm 19 Feb 2014
32, 6pm 19 Feb 2014
32, 8pm 19 Feb 2014
30, 9pm 19 Feb 2014
29, 10pm 19 Feb 2014
28, 11pm 19 Feb 2014
26, 1am 20 Feb 2014
21, 7am 20 Feb 2014
20, 8am 20 Feb 2014
23, 10am 20 Feb 2014
27, 11am 20 Feb 2014
30, 12pm 20 Feb 2014
32, 1pm 20 Feb 2014
32, 3pm 20 Feb 2014
32, 4pm 20 Feb 2014
31, 6pm 20 Feb 2014
29, 8pm 20 Feb 2014
29, 9pm 20 Feb 2014
29, 10pm 20 Feb 2014
29, 11pm 20 Feb 2014
29, 7am 21 Feb 2014
30, 8am 21 Feb 2014
32, 10am 21 Feb 2014
35, 12pm 21 Feb 2014
35, 12pm 21 Feb 2014
32, 2pm 21 Feb 2014
32, 4pm 21 Feb 2014
33, 5pm 21 Feb 2014
33, 5pm 21 Feb 2014
32, 7pm 21 Feb 2014
33, 8pm 21 Feb 2014
32, 10pm 21 Feb 2014
32, 11pm 21 Feb 2014
27, 6am 22 Feb 2014
28, 8am 22 Feb 2014
29, 10am 22 Feb 2014
32, 12pm 22 Feb 2014
31, 1pm 22 Feb 2014
33, 2pm 22 Feb 2014
33, 3pm 22 Feb 2014
34, 4pm 22 Feb 2014
36, 5pm 22 Feb 2014
37, 6pm 22 Feb 2014
40, 7pm 22 Feb 2014
41, 8pm 22 Feb 2014
42, 9pm 22 Feb 2014
41, 10pm 22 Feb 2014
39, 11pm 22 Feb 2014
37, 12am 23 Feb 2014
30, 7am 23 Feb 2014
31, 9am 23 Feb 2014
31, 10am 23 Feb 2014
31, 11am 23 Feb 2014
31, 12pm 23 Feb 2014
31, 1pm 23 Feb 2014
29, 2pm 23 Feb 2014
29, 4pm 23 Feb 2014
30, 5pm 23 Feb 2014
32, 6pm 23 Feb 2014
35, 7pm 23 Feb 2014
37, 8pm 23 Feb 2014
36, 10pm 23 Feb 2014
36, 11pm 23 Feb 2014
33, 7am 24 Feb 2014
34, 8am 24 Feb 2014
36, 9am 24 Feb 2014
35, 11am 24 Feb 2014
34, 12pm 24 Feb 2014
35, 1pm 24 Feb 2014
35, 2pm 24 Feb 2014
35, 3pm 24 Feb 2014
36, 4pm 24 Feb 2014
39, 6pm 24 Feb 2014
38, 7pm 24 Feb 2014
36, 8pm 24 Feb 2014
35, 10pm 24 Feb 2014
36, 11pm 24 Feb 2014
27, 7am 25 Feb 2014
28, 8am 25 Feb 2014
31, 9am 25 Feb 2014
33, 10am 25 Feb 2014
35, 11am 25 Feb 2014
36, 12pm 25 Feb 2014
36, 1pm 25 Feb 2014
36, 2pm 25 Feb 2014
36, 3pm 25 Feb 2014
38, 4pm 25 Feb 2014
40, 5pm 25 Feb 2014
40, 6pm 25 Feb 2014
43, 7pm 25 Feb 2014
42, 8pm 25 Feb 2014
41, 9pm 25 Feb 2014
37, 10pm 25 Feb 2014
37, 11pm 25 Feb 2014
31, 5am 26 Feb 2014
30, 6am 26 Feb 2014
29, 7am 26 Feb 2014
28, 8am 26 Feb 2014
28, 9am 26 Feb 2014
29, 10am 26 Feb 2014
32, 11am 26 Feb 2014
36, 12pm 26 Feb 2014
37, 1pm 26 Feb 2014
35, 3pm 26 Feb 2014
36, 4pm 26 Feb 2014
38, 5pm 26 Feb 2014
36, 7pm 26 Feb 2014
33, 8pm 26 Feb 2014
30, 9pm 26 Feb 2014
30, 10pm 26 Feb 2014
31, 11pm 26 Feb 2014
30, 5am 27 Feb 2014
32, 7am 27 Feb 2014
29, 8am 27 Feb 2014
23, 10am 27 Feb 2014
25, 11am 27 Feb 2014
28, 12pm 27 Feb 2014
29, 2pm 27 Feb 2014
28, 3pm 27 Feb 2014
33, 5pm 27 Feb 2014
36, 6pm 27 Feb 2014
37, 7pm 27 Feb 2014
51, 11am 24 Apr 2014
58, 4pm 24 Apr 2014
62, 5pm 24 Apr 2014
63, 6pm 24 Apr 2014
64, 7pm 24 Apr 2014
61, 8pm 24 Apr 2014
